Sample Index,GX Raw (LSB),GY Raw (LSB),GZ Raw (LSB),GX Uncal (dps),GY Uncal (dps),GZ Uncal (dps),GX Cal (dps),GY Cal (dps),GZ Cal (dps),Roll Angle Uncal (deg),Pitch Angle Uncal (deg),Yaw Angle Uncal (deg),Roll Angle Cal (deg),Pitch Angle Cal (deg),Yaw Angle Cal (deg)
275,-1073,127,-83,-8.190840,0.969466,-0.633588,-0.128878,0.424160,-0.360496,-22.023053,1.582061,-0.930534,0.147342,0.082471,-0.179532
276,-1028,51,-14,-7.847328,0.389313,-0.106870,0.214634,-0.155992,0.166221,-22.101527,1.585954,-0.931603,0.149488,0.080911,-0.177870
277,-998,51,-23,-7.618321,0.389313,-0.175573,0.443641,-0.155992,0.097519,-22.177710,1.589847,-0.933359,0.153924,0.079352,-0.176895
278,-789,246,-8,-6.022901,1.877863,-0.061069,2.039061,1.332557,0.212023,-22.237939,1.608626,-0.933969,0.174315,0.092677,-0.174775
279,-1022,26,-12,-7.801527,0.198473,-0.091603,0.260435,-0.346832,0.181489,-22.315954,1.610611,-0.934885,0.176919,0.089209,-0.172960
280,-999,34,-256,-7.625954,0.259542,-1.954198,0.436008,-0.285763,-1.681107,-22.392214,1.613206,-0.954427,0.181279,0.086351,-0.189771
281,-770,37,-41,-5.877863,0.282443,-0.312977,2.184099,-0.262863,-0.039885,-22.450992,1.616031,-0.957557,0.203120,0.083723,-0.190170
282,-771,42,-47,-5.885496,0.320611,-0.358779,2.176466,-0.224695,-0.085687,-22.509847,1.619237,-0.961145,0.224885,0.081476,-0.191027
283,-1020,68,-13,-7.786260,0.519084,-0.099237,0.275702,-0.026221,0.173855,-22.587710,1.624427,-0.962137,0.227642,0.081213,-0.189288
284,-1006,16,-3,-7.679389,0.122137,-0.022901,0.382573,-0.423168,0.250191,-22.664504,1.625649,-0.962366,0.231468,0.076982,-0.186786
285,-1007,-233,252,-7.687023,-1.778626,1.923664,0.374939,-2.323931,2.196756,-22.741374,1.607863,-0.943130,0.235217,0.053742,-0.164819
286,-1053,23,12,-8.038168,0.175573,0.091603,0.023794,-0.369733,0.364695,-22.821756,1.609618,-0.942214,0.235455,0.050045,-0.161172
287,-1082,40,5,-8.259542,0.305344,0.038168,-0.197580,-0.239962,0.311260,-22.904351,1.612672,-0.941832,0.233479,0.047645,-0.158059
288,-1063,17,252,-8.114504,0.129771,1.923664,-0.052542,-0.415534,2.196756,-22.985496,1.613969,-0.922595,0.232954,0.043490,-0.136092
289,-807,-249,6,-6.160305,-1.900763,0.045802,1.901656,-2.446069,0.318893,-23.047099,1.594962,-0.922137,0.251970,0.019029,-0.132903
290,-1061,26,14,-8.099237,0.198473,0.106870,-0.037275,-0.346832,0.379962,-23.128092,1.596947,-0.921069,0.251598,0.015561,-0.129103
291,-785,26,16,-5.992366,0.198473,0.122137,2.069595,-0.346832,0.395229,-23.188015,1.598931,-0.919847,0.272294,0.012093,-0.125151
292,-793,22,243,-6.053435,0.167939,1.854962,2.008527,-0.377366,2.128053,-23.248550,1.600611,-0.901298,0.292379,0.008319,-0.103870
293,-1079,52,1,-8.236641,0.396947,0.007634,-0.174679,-0.148359,0.280725,-23.330916,1.604580,-0.901221,0.290632,0.006835,-0.101063
294,-1082,121,-55,-8.259542,0.923664,-0.419847,-0.197580,0.378359,-0.146756,-23.413511,1.613817,-0.905420,0.288656,0.010619,-0.102531
295,-1124,121,-43,-8.580153,0.923664,-0.328244,-0.518191,0.378359,-0.055153,-23.499313,1.623053,-0.908702,0.283474,0.014403,-0.103082
