Time (s),AX (g),AY (g),AZ (g),GX (dps),GY (dps),GZ (dps),Roll Gyro Pure (deg),Pitch Gyro Pure (deg),Yaw Gyro Pure (deg),Roll Accel (deg),Pitch Accel (deg),Roll CF (deg),Pitch CF (deg),Yaw CF (deg),Compass Heading (deg)
17.501,0.0515,-0.0154,1.1501,-1.3393,-0.5215,0.4470,3.4174,-0.8166,256.5377,-0.7662,-2.5643,1.3742,-1.3427,257.3721,257.22
17.521,0.0498,0.0229,1.1599,1.9355,-0.1246,-0.1332,3.4561,-0.8191,256.5404,1.1335,-2.4582,1.4017,-1.3897,257.3684,257.22
17.541,0.0210,0.0212,1.1118,-0.0111,0.3258,-0.2782,3.4559,-0.8126,256.5460,1.0945,-1.0817,1.3892,-1.3711,257.3844,257.64
17.562,-0.0051,-0.0144,1.1580,-0.3088,0.3640,-0.3240,3.4497,-0.8053,256.5524,-0.7127,0.2537,1.2992,-1.2991,257.4032,257.70
17.582,-0.0149,0.0354,1.1033,-1.5683,0.4632,0.2638,3.4184,-0.7960,256.5472,1.8378,0.7730,1.2906,-1.2073,257.4100,257.70
17.602,0.0037,0.0115,1.1074,0.4469,-0.3230,2.2103,3.4273,-0.8025,256.5030,0.5937,-0.1895,1.2713,-1.1728,257.3795,257.71
17.622,0.0623,0.0188,1.1006,0.5080,-0.3994,1.9966,3.4375,-0.8105,256.4630,0.9786,-3.2371,1.2694,-1.2631,257.3544,257.71
17.642,0.0564,0.0085,1.1489,0.4851,-0.4528,0.4012,3.4472,-0.8195,256.4550,0.4261,-2.8101,1.2450,-1.3336,257.3609,257.71
17.662,0.0554,0.0000,1.1582,0.4469,-0.4833,0.2867,3.4561,-0.8292,256.4493,0.0000,-2.7395,1.2038,-1.3992,257.3694,257.71
17.682,0.0344,0.0439,1.1218,-0.2172,0.4938,-0.2324,3.4518,-0.8193,256.4539,2.2433,-1.7563,1.2412,-1.4040,257.3767,257.44
17.702,0.0210,0.0361,1.1162,-1.5378,-0.3383,-0.0568,3.4210,-0.8261,256.4551,1.8541,-1.0771,1.2362,-1.3974,257.3787,257.40
17.722,-0.0112,0.0481,1.1011,-0.4386,0.4098,-0.3393,3.4122,-0.8179,256.4618,2.5011,0.5838,1.2783,-1.3103,257.3861,257.40
17.742,-0.0083,0.0349,1.0630,0.1798,0.0205,-1.5530,3.4158,-0.8175,256.4929,1.8811,0.4472,1.3059,-1.2396,257.4280,257.69
17.763,0.0154,0.0283,1.1108,0.1645,0.0358,0.1416,3.4191,-0.8168,256.4901,1.4604,-0.7930,1.3152,-1.2210,257.4374,257.73
17.783,0.0122,0.0166,1.0950,2.3172,-0.5444,1.8287,3.4655,-0.8277,256.4535,0.8686,-0.6386,1.3419,-1.2082,257.4141,257.73
17.803,0.0547,0.0042,1.1428,-1.5836,-2.4299,-0.0034,3.4338,-0.8763,256.4536,0.2081,-2.7397,1.2661,-1.3161,257.4272,257.74
17.823,0.0593,0.0620,1.0796,-1.3470,-0.2162,-1.6599,3.4068,-0.8806,256.4868,3.2875,-3.1402,1.3211,-1.3932,257.4715,257.74
17.843,0.0166,0.0361,1.1270,1.9584,0.4480,-1.6217,3.4460,-0.8716,256.5192,1.8364,-0.8436,1.3793,-1.3626,257.5134,257.74
17.863,0.0029,0.0369,1.1440,-0.3088,0.3258,-0.3393,3.4398,-0.8651,256.5260,1.8456,-0.1466,1.3920,-1.3077,257.5290,257.74
17.883,-0.0076,0.0225,1.0930,0.3172,0.0052,0.1111,3.4462,-0.8650,256.5238,1.1772,0.3966,1.3895,-1.2394,257.5181,257.31
17.903,0.0142,0.0449,1.0950,1.8744,0.4632,-0.1942,3.4837,-0.8557,256.5277,2.3493,-0.7403,1.4639,-1.2106,257.5109,257.24
17.923,0.0061,0.0349,1.0518,0.3172,0.0816,0.0729,3.4900,-0.8541,256.5262,1.9012,-0.3323,1.4875,-1.1739,257.4988,257.24
17.943,0.0168,0.0146,1.1174,-1.1637,1.3487,0.3935,3.4667,-0.8271,256.5183,0.7510,-0.8636,1.4357,-1.1356,257.4969,257.64
17.963,0.0342,0.0393,1.1035,-0.2477,0.4022,-0.2324,3.4618,-0.8191,256.5230,2.0400,-1.7730,1.4551,-1.1534,257.5095,257.70
17.984,0.0459,0.0093,1.1445,1.8515,0.1579,-1.6675,3.4988,-0.8159,256.5563,0.4644,-2.2964,1.4510,-1.1960,257.5491,257.70
18.004,0.0554,0.0132,1.1658,-0.0034,0.2877,-0.3546,3.4987,-0.8102,256.5634,0.6479,-2.7216,1.4188,-1.2515,257.5623,257.71
18.024,0.0144,0.0132,1.1272,2.1492,0.1884,-0.2019,3.5417,-0.8064,256.5674,0.6701,-0.7321,1.4302,-1.2272,257.5721,257.71
18.044,-0.0085,0.0508,1.0872,-0.0263,0.2877,0.0119,3.5412,-0.8007,256.5672,2.6743,0.4498,1.4794,-1.1545,257.5774,257.71
18.064,0.0132,0.0469,1.0911,0.1798,-0.0177,0.2332,3.5448,-0.8010,256.5625,2.4601,-0.6916,1.5221,-1.1364,257.5782,257.71
18.084,0.0020,-0.0010,1.1096,0.4164,-0.3230,-0.0568,3.5531,-0.8075,256.5637,-0.0504,-0.1009,1.4672,-1.1012,257.5846,257.71
18.104,0.0312,0.0103,1.1255,2.2637,-0.4299,1.9737,3.5984,-0.8161,256.5242,0.5220,-1.5904,1.4728,-1.1290,257.5517,257.71
18.125,0.0659,-0.0095,1.1553,2.1111,-0.2467,1.7599,3.6406,-0.8210,256.4890,-0.4722,-3.2655,1.4356,-1.2192,257.5243,257.71
18.145,0.0234,0.0515,1.0759,-0.4538,0.3487,-0.3775,3.6316,-0.8140,256.4966,2.7411,-1.2465,1.4791,-1.2136,257.5498,257.98
18.165,0.0234,0.0061,1.1682,0.5767,-0.2391,-0.2859,3.6431,-0.8188,256.5023,0.2993,-1.1493,1.4430,-1.2156,257.5724,257.98
18.185,0.0112,0.0432,1.1428,2.2790,-0.3459,0.2103,3.6887,-0.8257,256.4981,2.1655,-0.5626,1.5156,-1.1961,257.5863,258.02
18.205,0.0112,0.0354,1.1150,-0.1866,-2.2543,-0.0263,3.6849,-0.8708,256.4986,1.8185,-0.5768,1.5242,-1.2146,257.6044,258.03
18.226,0.0054,0.0493,1.0947,-0.3241,0.2724,-0.1790,3.6785,-0.8654,256.5022,2.5794,-0.2808,1.5601,-1.1720,257.6248,258.03
18.246,0.0015,0.0139,1.1699,-0.3088,0.5014,-0.0645,3.6723,-0.8553,256.5035,0.6815,-0.0717,1.5191,-1.1184,257.6421,258.03
18.266,0.0281,0.0012,1.1245,0.5233,-0.4070,1.9584,3.6827,-0.8635,256.4643,0.0622,-1.4302,1.4708,-1.1387,257.6199,258.03
18.286,0.0574,0.0188,1.1643,0.3935,-0.3459,-0.0110,3.6906,-0.8704,256.4645,0.9250,-2.8207,1.4566,-1.2126,257.6364,258.03
18.306,0.0312,0.0166,1.0793,-1.4996,-0.1704,-1.4538,3.6606,-0.8738,256.4936,0.8812,-1.6582,1.4048,-1.2337,257.6800,258.03
18.326,0.0732,0.0127,1.1611,-0.6218,-0.0482,2.2027,3.6482,-0.8748,256.4495,0.6264,-3.6091,1.3617,-1.3296,257.6516,258.03
18.346,0.0244,0.0242,1.1404,-0.4309,0.5243,-0.4614,3.6396,-0.8643,256.4588,1.2142,-1.2262,1.3475,-1.3154,257.6637,257.73
18.366,-0.0164,0.0154,1.1206,0.5767,-0.3688,2.1798,3.6511,-0.8717,256.4152,0.7864,0.8362,1.3361,-1.2365,257.6228,257.69
18.386,0.0029,0.0159,1.0793,-1.3241,-0.3841,-0.2019,3.6246,-0.8793,256.4192,0.8423,-0.1555,1.2910,-1.2006,257.6293,257.69
18.406,0.0034,0.0444,1.0994,-1.4691,-0.2085,-1.6370,3.5952,-0.8835,256.4520,2.3145,-0.1780,1.3037,-1.1637,257.6628,257.68
18.426,0.0330,0.0042,1.1116,-0.3241,0.1426,-0.4538,3.5888,-0.8807,256.4610,0.2139,-1.6984,1.2539,-1.1823,257.6723,257.68
18.447,0.0603,0.0095,1.1667,2.1874,0.4709,-1.6675,3.6325,-0.8712,256.4944,0.4676,-2.9586,1.2644,-1.2444,257.7046,257.68
18.467,0.0552,-0.0142,1.1560,2.2714,-0.2467,2.0500,3.6779,-0.8762,256.4534,-0.7018,-2.7324,1.2294,-1.3086,257.6643,257.68
18.487,0.0549,0.0518,1.0793,0.1874,0.0510,0.1187,3.6817,-0.8752,256.4510,2.7454,-2.9101,1.2936,-1.3717,257.6627,257.68
18.507,0.0249,0.0320,1.1360,-0.3088,-0.2009,2.0806,3.6755,-0.8792,256.4094,1.6127,-1.2553,1.3005,-1.3709,257.6235,257.68
18.527,0.0020,0.0320,1.1208,-0.3317,0.4480,-0.1408,3.6689,-0.8702,256.4122,1.6344,-0.0998,1.3075,-1.3114,257.6285,257.68
18.547,-0.0156,0.0293,1.1626,0.4088,-2.4299,1.9966,3.6770,-0.9188,256.3723,1.4435,0.7697,1.3207,-1.2749,257.5986,257.84
18.567,-0.0120,0.0298,1.0642,-1.2553,-0.2162,-0.1637,3.6519,-0.9231,256.3755,1.6032,0.6438,1.3079,-1.2023,257.6115,257.84
18.587,0.0144,0.0352,1.1060,0.6454,-0.3688,-1.6446,3.6648,-0.9305,256.4084,1.8207,-0.7458,1.3408,-1.1911,257.6532,257.86
18.607,0.0623,-0.0146,1.1277,-0.1714,0.4403,-0.3317,3.6614,-0.9217,256.4151,-0.7442,-3.1596,1.2541,-1.2614,257.6573,257.60
18.627,0.0403,0.0022,1.1299,2.1187,0.4632,0.1493,3.7038,-0.9124,256.4121,0.1114,-2.0419,1.2491,-1.2837,257.6521,257.60
18.647,0.0542,0.0149,1.1414,2.2637,-0.3688,2.0882,3.7491,-0.9198,256.3703,0.7476,-2.7185,1.2725,-1.3482,257.6083,257.56
18.667,0.0217,0.0278,1.1221,0.1645,0.4480,-0.2401,3.7524,-0.9109,256.3751,1.4209,-1.1090,1.2816,-1.3300,257.6107,257.55
18.687,0.0239,0.0259,1.1709,-1.5683,-0.5368,2.1416,3.7210,-0.9216,256.3323,1.2661,-1.1703,1.2509,-1.3339,257.5672,257.55
18.708,-0.0100,0.0303,1.1238,-0.1485,0.2648,-0.4691,3.7180,-0.9163,256.3417,1.5431,0.5101,1.2597,-1.2551,257.5756,257.55
18.728,-0.0085,0.0554,1.0942,-0.2248,0.4174,-0.1255,3.7135,-0.9080,256.3442,2.8994,0.4468,1.3210,-1.1790,257.5770,257.55
18.748,0.0295,0.0146,1.1069,-0.0492,-0.0482,0.2332,3.7125,-0.9089,256.3395,0.7582,-1.5286,1.2975,-1.1939,257.5661,257.42
18.768,0.0186,0.0195,1.1135,2.1721,0.2571,-0.3011,3.7560,-0.9038,256.3455,1.0049,-0.9545,1.3275,-1.1794,257.5659,257.42
18.788,0.0493,-0.0022,1.1382,2.1034,0.3411,-0.2630,3.7981,-0.8970,256.3508,-0.1106,-2.4810,1.3104,-1.2249,257.5642,257.40
18.808,0.0396,0.0188,1.1042,-0.0034,0.2877,-0.3546,3.7980,-0.8912,256.3579,0.9753,-2.0510,1.2969,-1.2524,257.5705,257.55
18.828,0.0510,0.0005,1.1333,-0.2553,0.3716,-0.2553,3.7929,-0.8838,256.3630,0.0247,-2.5779,1.2411,-1.2983,257.5747,257.55
18.848,0.0281,0.0437,1.1169,0.0042,0.2190,-0.2095,3.7930,-0.8794,256.3672,2.2406,-1.4388,1.2812,-1.2997,257.5788,257.58
18.868,-0.0090,0.0129,1.1406,2.1950,-0.3001,2.0042,3.8369,-0.8854,256.3271,0.6499,0.4537,1.2981,-1.2353,257.5404,257.58
18.888,0.0005,0.0400,1.1042,-0.2477,0.4632,-0.1942,3.8319,-0.8761,256.3310,2.0766,-0.0253,1.3245,-1.1780,257.5457,257.58
18.908,-0.0076,0.0376,1.0742,0.3095,-0.0558,-0.0187,3.8381,-0.8772,256.3314,2.0045,0.4034,1.3576,-1.1159,257.5475,257.58
18.929,0.0010,0.0151,1.1216,-1.1866,-0.4528,-1.5836,3.8144,-0.8863,256.3630,0.7732,-0.0499,1.3115,-1.0819,257.5792,257.58
18.949,0.0386,0.0254,1.1436,0.1950,-0.1475,0.1722,3.8183,-0.8892,256.3596,1.2719,-1.9315,1.3136,-1.1187,257.5858,257.83
18.969,0.0569,0.0081,1.1614,0.3095,-0.3917,1.8745,3.8245,-0.8971,256.3221,0.3975,-2.8041,1.2829,-1.1937,257.5594,257.83
18.989,0.0562,0.0142,1.1804,2.0347,0.0816,-0.1484,3.8651,-0.8955,256.3251,0.6873,-2.7233,1.2982,-1.2533,257.5743,257.86
19.009,0.0137,0.0344,1.1309,0.5004,-0.4910,2.0500,3.8752,-0.9053,256.2841,1.7436,-0.6923,1.3256,-1.2403,257.5349,257.57
19.029,0.0234,0.0222,1.1111,-0.3470,0.0892,-1.6523,3.8682,-0.9035,256.3171,1.1455,-1.2082,1.3117,-1.2373,257.5682,257.57
19.049,-0.0100,0.0596,1.0796,0.1798,0.2953,0.0653,3.8718,-0.8976,256.3158,3.1583,0.5304,1.3890,-1.1609,257.5654,257.53
19.069,-0.0068,0.0037,1.1504,2.2485,-0.1933,1.8058,3.9168,-0.9014,256.2797,0.1824,0.3405,1.3839,-1.1046,257.5291,257.52
19.089,0.0093,0.0361,1.0950,0.2866,0.2877,-0.1637,3.9225,-0.8957,256.2830,1.8900,-0.4852,1.4097,-1.0743,257.5320,257.52
19.109,0.0173,0.0015,1.0955,0.7065,-0.5291,0.4012,3.9366,-0.9063,256.2749,0.0766,-0.9065,1.3699,-1.0777,257.5239,257.52
19.132,0.0122,0.0442,1.1052,2.2943,-0.2314,-0.2477,3.9825,-0.9109,256.2799,2.2896,-0.6323,1.4508,-1.0643,257.5286,257.52
19.152,-0.0088,0.0393,1.1042,-1.2859,-0.3688,-0.3164,3.9568,-0.9183,256.2862,2.0386,0.4557,1.4496,-1.0106,257.5345,257.52
19.172,-0.0039,0.0356,1.1038,-0.0645,0.4098,-0.0416,3.9555,-0.9101,256.2871,1.8497,0.2027,1.4644,-0.9542,257.5348,257.52
19.192,0.0105,-0.0034,1.0952,-1.3393,-0.3001,-1.6523,3.9287,-0.9161,256.3201,-0.1788,-0.5492,1.3729,-0.9438,257.5660,257.52
19.212,0.0173,0.0457,1.1677,-0.2401,0.3945,-0.2248,3.9239,-0.9082,256.3246,2.2389,-0.8498,1.4029,-0.9324,257.5597,257.30
19.232,0.0361,0.0034,1.1091,0.6378,-0.3536,0.3401,3.9367,-0.9153,256.3178,0.1766,-1.8659,1.3661,-0.9766,257.5429,257.30
19.252,0.0566,0.0081,1.1360,0.4088,-0.4910,0.0882,3.9449,-0.9251,256.3160,0.4063,-2.8543,1.3356,-1.0611,257.5302,257.27
19.272,0.0559,0.0498,1.0715,0.2103,-0.0482,0.0195,3.9491,-0.9261,256.3156,2.6612,-2.9835,1.3927,-1.1389,257.5235,257.37
19.292,0.0349,0.0298,1.1672,-0.4767,-0.0024,2.1798,3.9395,-0.9261,256.2720,1.4617,-1.7127,1.3863,-1.1619,257.4757,257.37
19.312,0.0227,0.0237,1.1111,-0.2935,0.3869,-0.1179,3.9337,-0.9184,256.2744,1.2210,-1.1704,1.3740,-1.1548,257.4745,257.39
19.333,0.0093,0.0312,1.1265,2.0271,0.0510,-0.2630,3.9742,-0.9173,256.2797,1.5891,-0.4717,1.4215,-1.1265,257.4763,257.39
19.353,-0.0154,0.0378,1.0635,-1.0874,-0.5139,-0.3698,3.9525,-0.9276,256.2871,2.0379,0.8281,1.4253,-1.0582,257.4800,257.39
19.373,0.0046,0.0386,1.0920,-1.3470,-0.1246,-1.5836,3.9255,-0.9301,256.3187,2.0230,-0.2432,1.4234,-1.0280,257.5069,257.39
19.393,0.0391,0.0137,1.1697,0.0424,0.3106,-0.3317,3.9264,-0.9239,256.3254,0.6697,-1.9126,1.3940,-1.0574,257.5087,257.39
19.413,0.0393,0.0056,1.1243,0.3935,0.4174,-1.4920,3.9342,-0.9156,256.3552,0.2862,-2.0023,1.3573,-1.0872,257.5327,257.39
19.433,0.0537,-0.0151,1.1458,0.4011,-0.3154,1.9966,3.9423,-0.9219,256.3153,-0.7569,-2.6837,1.2804,-1.1571,257.4898,257.42
19.453,0.0566,0.0608,1.0825,-0.0034,0.0358,-0.1026,3.9422,-0.9211,256.3173,3.2142,-2.9905,1.3577,-1.2298,257.4890,257.42
19.473,0.0291,0.0322,1.1477,1.7523,0.2342,-1.5225,3.9772,-0.9165,256.3478,1.6084,-1.4495,1.4014,-1.2341,257.5155,257.42
19.493,0.0190,0.0312,1.1580,-0.0569,0.1655,-0.3393,3.9761,-0.9131,256.3546,1.5459,-0.9418,1.4060,-1.2192,257.5442,258.07
19.513,0.0054,0.0457,1.1084,-0.1103,0.4327,-0.2171,3.9739,-0.9045,256.3589,2.3586,-0.2774,1.4420,-1.1732,257.5734,258.17
19.533,-0.0024,0.0369,1.1558,-0.0645,0.3106,-0.4004,3.9726,-0.8983,256.3669,1.8269,0.1210,1.4562,-1.1155,257.6054,258.18
19.554,0.0078,0.0400,1.0977,-1.5454,-0.0024,-1.6752,3.9417,-0.8983,256.4004,2.0890,-0.4075,1.4518,-1.0872,257.6607,258.18
19.574,0.0005,0.0303,1.1211,-1.3241,-0.4910,0.2943,3.9152,-0.9082,256.3945,1.5468,-0.0249,1.4302,-1.0541,257.6760,258.19
19.594,0.0410,0.0234,1.1140,-0.4767,0.3716,-0.2859,3.9057,-0.9007,256.4002,1.2053,-2.1081,1.4121,-1.0892,257.7019,258.19
19.614,0.0342,0.0103,1.1587,1.9660,0.2877,-1.5378,3.9450,-0.8950,256.4310,0.5070,-1.6896,1.4136,-1.1077,257.7507,258.19
19.634,0.0400,-0.0051,1.1519,1.9126,0.1350,-0.0950,3.9833,-0.8923,256.4329,-0.2550,-1.9908,1.3836,-1.1404,257.7322,257.24
19.654,0.0308,0.0547,1.0627,0.3019,-0.0558,0.1264,3.9893,-0.8934,256.4304,2.9458,-1.6558,1.4519,-1.1621,257.7045,257.10
19.674,0.0122,0.0415,1.1489,-0.2935,-0.0635,-1.6752,3.9834,-0.8947,256.4639,2.0689,-0.6083,1.4709,-1.1412,257.7124,257.10
19.694,-0.0151,0.0220,1.1147,-0.4386,0.4403,-0.3164,3.9747,-0.8858,256.4702,1.1292,0.7778,1.4488,-1.0559,257.7255,257.89
19.714,-0.0056,0.0464,1.0679,-1.5836,0.1961,0.0653,3.9430,-0.8819,256.4689,2.4873,0.3010,1.4600,-0.9979,257.7355,258.01
19.734,0.0137,0.0078,1.1797,-0.3546,0.5319,-0.4385,3.9359,-0.8713,256.4777,0.3794,-0.6640,1.4099,-0.9743,257.7555,258.02
19.755,0.0291,0.0115,1.0962,-1.4157,-0.3459,-1.6141,3.9076,-0.8782,256.5100,0.5997,-1.5181,1.3503,-1.0027,257.7972,258.02
19.775,0.0354,0.0022,1.1521,2.1569,-0.3536,1.9890,3.9507,-0.8853,256.4702,0.1093,-1.7600,1.3421,-1.0398,257.7682,258.03
19.795,0.0503,0.0564,1.0969,0.1263,0.4709,-0.1561,3.9532,-0.8759,256.4733,2.9432,-2.6217,1.4086,-1.0940,257.7816,258.03
19.815,0.0532,0.0002,1.1633,-0.3470,-0.3917,-0.0263,3.9463,-0.8837,256.4738,0.0120,-2.6195,1.3461,-1.1626,257.7747,257.60
19.835,0.0530,0.0276,1.1602,-0.0263,0.1655,-0.3698,3.9458,-0.8804,256.4812,1.3622,-2.6139,1.3462,-1.2174,257.7748,257.60
19.855,0.0300,0.0215,1.0798,-1.5607,0.0358,0.2638,3.9146,-0.8797,256.4759,1.1398,-1.5926,1.3080,-1.2318,257.7601,257.53
19.875,0.0012,0.0471,1.1162,0.2027,0.3029,-0.0874,3.9186,-0.8736,256.4777,2.4172,-0.0626,1.3562,-1.1792,257.7684,257.93
19.895,-0.0085,0.0498,1.0884,0.1721,-0.0788,-1.6675,3.9221,-0.8752,256.5110,2.6201,0.4494,1.4101,-1.1156,257.8068,257.93
19.915,0.0085,0.0039,1.1440,0.6607,1.3793,0.3859,3.9353,-0.8476,256.5033,0.1956,-0.4279,1.3742,-1.0616,257.8066,257.99
19.935,0.0454,0.0439,1.1423,0.0347,-0.1169,0.2561,3.9360,-0.8499,256.4982,2.2031,-2.2747,1.4080,-1.1123,257.7941,257.62
19.955,0.0427,0.0186,1.1445,0.3782,-0.4528,2.1951,3.9435,-0.8590,256.4543,0.9288,-2.1375,1.3961,-1.1620,257.7449,257.62
19.975,0.0559,0.0010,1.1414,2.2790,-0.2696,-0.0492,3.9891,-0.8644,256.4553,0.0490,-2.8043,1.3860,-1.2329,257.7385,257.56
19.996,0.0569,0.0586,1.1013,2.3172,-0.5291,2.1722,4.0355,-0.8750,256.4118,3.0455,-2.9526,1.4969,-1.3119,257.6894,257.55
